cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
IPE O 400,75.7,404.0,182.0,9.7,15.5,21,373.0,331.0,96.4,1.481,19.57,26740,1324,1502,16.6,47.98,1564,171.8,269,4,6.5,73.34,587600
IPE 400,66.3,400.0,180.0,8.6,13.5,21,373.0,331.0,84.5,1.467,22.13,23120,1156,1307,16.5,42.69,1317,146.4,229,3.9,6,51.27,490000
IPE A 400,57.4,397.0,180.0,7.0,12.0,21,373.0,331.0,73.1,1.464,25.51,20290,1022,1143,16.6,35.77,1170,130,202,4,5.5,36.16,432200
IPE AA 400,53.4,395.6,180.0,6.3,11.3,21,373.0,331.0,68.0,1.463,27.42,19000,960.5,1069,16.7,32.74,1102,122.4,189.7,4,5.3,30.53,405500
IPE O 360,66.0,364.0,172.0,9.2,14.7,18,334.6,298.6,84.1,1.367,20.7,19040,1046,1186,15,40.2,1251,145.4,226.9,3.8,5.9,55.74,380200
IPE 360,57.1,360.0,170.0,8.0,12.7,18,334.6,298.6,72.7,1.353,23.7,16260,903.6,1019,14.9,35.13,1043,122.7,191,3.7,5.4,37.44,313500
IPE A 360,50.2,357.6,170.0,6.6,11.5,18,334.6,298.6,64.0,1.351,26.91,14510,811.8,906.7,15,29.76,944.2,111,171.8,3.8,5,27.36,281900
IPE AA 360,47.0,356.4,170.0,6.0,10.9,18,334.6,298.6,59.9,1.350,28.7,13670,767.5,853.5,15.1,27.43,894.8,105.2,162.4,3.8,4.8,23.37,266300
IPE O 330,57.0,334.0,162.0,8.5,13.5,18,307.0,271.0,72.6,1.268,22.24,13910,832.9,942.7,13.8,34.88,960.3,118.5,184.9,3.6,5.6,42.2,245600
IPE 330,49.1,330.0,160.0,7.5,11.5,18,307.0,271.0,62.6,1.254,25.52,11760,713.1,804.3,13.7,30.8,788.1,98.51,153.6,3.5,5.1,28.06,199000
IPE A 330,43.0,327.0,160.0,6.5,10.0,18,307.0,271.0,54.7,1.250,29.09,10230,625.7,701.9,13.6,26.98,685.1,85.64,133.2,3.5,4.7,19.63,171500
IPE O 300,49.3,304.0,152.0,8.0,12.7,15,278.6,248.6,62.8,1.174,23.8,9994,657.5,743.8,12.6,29.04,745.7,98.12,152.5,3.4,5,30.97,157600
IPE 300,42.2,300.0,150.0,7.1,10.7,15,278.6,248.6,53.8,1.160,27.46,8356,557,628.3,12.4,25.68,603.7,80.5,125.2,3.3,4.6,19.91,125900
IPE A 300,36.5,297.0,150.0,6.1,9.2,15,278.6,248.6,46.5,1.156,31.65,7173,483,541.7,12.4,22.24,518.9,69.19,107.3,3.3,4.2,13.34,107100
IPE O 270,42.3,274.0,136.0,7.5,12.2,15,249.6,219.6,53.8,1.051,24.87,6947,507,574.6,11.3,25.22,513.4,75.51,117.7,3,4.9,24.98,87640
IPE 270,36.1,270.0,135.0,6.6,10.2,15,249.6,219.6,45.9,1.041,28.86,5789,428.8,483.9,11.2,22.13,419.8,62.2,96.95,3,4.4,15.9,70570
IPE A 270,30.7,267.0,135.0,5.5,8.7,15,249.6,219.6,39.2,1.037,33.74,4917,368.3,412.4,11.2,18.74,357.9,53.03,82.34,3,4,10.41,59500
